confirmed_cases,country_region,date,lat,long,province_state,state_and_country,rank,confirmed_cases_prev_day,daily_diff_cases,confirmed_recoveries,confirmed_recoveries_prev_day,daily_diff_recoveries,confirmed_deaths,confirmed_deaths_prev_day,daily_diff_deaths
2,Thailand,2020-01-22,15.0,101.0,Not Provided,Not Provided-Thailand,1.0,0.0,2.0,0,0.0,0.0,0,0.0,0.0
3,Thailand,2020-01-23,15.0,101.0,Not Provided,Not Provided-Thailand,2.0,2.0,1.0,0,0.0,0.0,0,0.0,0.0
5,Thailand,2020-01-24,15.0,101.0,Not Provided,Not Provided-Thailand,3.0,3.0,2.0,0,0.0,0.0,0,0.0,0.0
7,Thailand,2020-01-25,15.0,101.0,Not Provided,Not Provided-Thailand,4.0,5.0,2.0,0,0.0,0.0,0,0.0,0.0
8,Thailand,2020-01-26,15.0,101.0,Not Provided,Not Provided-Thailand,5.0,7.0,1.0,2,0.0,2.0,0,0.0,0.0
8,Thailand,2020-01-27,15.0,101.0,Not Provided,Not Provided-Thailand,6.0,8.0,0.0,2,2.0,0.0,0,0.0,0.0
14,Thailand,2020-01-28,15.0,101.0,Not Provided,Not Provided-Thailand,7.0,8.0,6.0,5,2.0,3.0,0,0.0,0.0
14,Thailand,2020-01-29,15.0,101.0,Not Provided,Not Provided-Thailand,8.0,14.0,0.0,5,5.0,0.0,0,0.0,0.0
14,Thailand,2020-01-30,15.0,101.0,Not Provided,Not Provided-Thailand,9.0,14.0,0.0,5,5.0,0.0,0,0.0,0.0
19,Thailand,2020-01-31,15.0,101.0,Not Provided,Not Provided-Thailand,10.0,14.0,5.0,5,5.0,0.0,0,0.0,0.0
19,Thailand,2020-02-01,15.0,101.0,Not Provided,Not Provided-Thailand,11.0,19.0,0.0,5,5.0,0.0,0,0.0,0.0
19,Thailand,2020-02-02,15.0,101.0,Not Provided,Not Provided-Thailand,12.0,19.0,0.0,5,5.0,0.0,0,0.0,0.0
19,Thailand,2020-02-03,15.0,101.0,Not Provided,Not Provided-Thailand,13.0,19.0,0.0,5,5.0,0.0,0,0.0,0.0
25,Thailand,2020-02-04,15.0,101.0,Not Provided,Not Provided-Thailand,14.0,19.0,6.0,5,5.0,0.0,0,0.0,0.0
25,Thailand,2020-02-05,15.0,101.0,Not Provided,Not Provided-Thailand,15.0,25.0,0.0,5,5.0,0.0,0,0.0,0.0
25,Thailand,2020-02-06,15.0,101.0,Not Provided,Not Provided-Thailand,16.0,25.0,0.0,5,5.0,0.0,0,0.0,0.0
25,Thailand,2020-02-07,15.0,101.0,Not Provided,Not Provided-Thailand,17.0,25.0,0.0,5,5.0,0.0,0,0.0,0.0
32,Thailand,2020-02-08,15.0,101.0,Not Provided,Not Provided-Thailand,18.0,25.0,7.0,10,5.0,5.0,0,0.0,0.0
32,Thailand,2020-02-09,15.0,101.0,Not Provided,Not Provided-Thailand,19.0,32.0,0.0,10,10.0,0.0,0,0.0,0.0
32,Thailand,2020-02-10,15.0,101.0,Not Provided,Not Provided-Thailand,20.0,32.0,0.0,10,10.0,0.0,0,0.0,0.0
33,Thailand,2020-02-11,15.0,101.0,Not Provided,Not Provided-Thailand,21.0,32.0,1.0,10,10.0,0.0,0,0.0,0.0
33,Thailand,2020-02-12,15.0,101.0,Not Provided,Not Provided-Thailand,22.0,33.0,0.0,10,10.0,0.0,0,0.0,0.0
33,Thailand,2020-02-13,15.0,101.0,Not Provided,Not Provided-Thailand,23.0,33.0,0.0,12,10.0,2.0,0,0.0,0.0
33,Thailand,2020-02-14,15.0,101.0,Not Provided,Not Provided-Thailand,24.0,33.0,0.0,12,12.0,0.0,0,0.0,0.0
