state_code,county,lat,long,TEST_zipcode,TEST_county,TEST_state,TEST_population,TEST_population_density
WA,Snohomish,48.070464,-121.936784,98258,Snohomish County,WA,30524,1058.0
IL,Cook,41.894294,-87.645455,60654,Cook County,IL,14875,24468.0
CA,Orange,33.675687,-117.777207,92604,Orange County,CA,26853,7960.0
AZ,Maricopa,33.345176,-112.49893,85338,Maricopa County,AZ,41115,557.0
CA,Los Angeles,34.196397999999995,-118.26186200000001,91208,Los Angeles County,CA,16245,2354.0
CA,Santa Clara,37.220695,-121.69051,95139,Santa Clara County,CA,6748,5482.0
MA,Suffolk,42.338551,-71.018253,02127,Suffolk County,MA,31799,15744.0
CA,San Francisco,37.727239000000004,-123.032229,94121,San Francisco County,CA,41203,13370.0
WI,Dane,43.067468,-89.417852,53726,Dane County,WI,5177,10417.0
CA,San Diego,33.023604,-116.776117,92065,San Diego County,CA,35414,214.0
TX,Bexar,29.448671,-98.520147,78212,Bexar County,TX,28415,4204.0
NE,Douglas,41.297090999999995,-96.154066,68116,Douglas County,NE,25429,2826.0
CA,Humboldt,40.706655,-123.926176,95550,Humboldt County,CA,128,1.0
CA,Sacramento,38.450016,-121.340441,95829,Sacramento County,CA,24755,1191.0
CA,Solano,38.267226,-121.939594,94535,Solano County,CA,3793,995.0
WA,Spokane,47.620375,-117.40337099999999,99203,Spokane County,WA,20192,4317.0
UT,Salt Lake,40.667883,-111.92424,84123,Salt Lake County,UT,37900,4610.0
CA,Marin,38.051817,-122.745974,94946,Marin County,CA,699,16.0
CA,Napa,38.5071,-122.32590400000001,94558,Napa County,CA,66830,188.0
CA,Sonoma,38.525182,-122.92611000000001,95436,Sonoma County,CA,5418,236.0
OR,Washington,45.553542,-123.09761499999999,97124,Washington County,OR,48349,1122.0
WA,King,47.490598999999996,-121.833996,98024,King County,WA,5650,236.0
CA,Alameda,37.647139,-121.91248799999998,94566,Alameda County,CA,40884,2085.0
FL,Hillsborough,27.906607,-82.349719,33619,Hillsborough County,FL,34581,1300.0
FL,Manatee,27.481682,-82.368767,34212,Manatee County,FL,15146,741.0
NY,New York City,40.776641999999995,-73.970187,10023,New York County,NY,60998,124357.0
RI,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
CA,Placer,39.062032,-120.722718,95713,Placer County,CA,9495,133.0
CA,San Mateo,37.414671999999996,-122.371546,94062,San Mateo County,CA,25876,365.0
